GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,kr.co.kyobo.vora.service.help,HelpServiceImpl,156,0,12,0,36,0,14,0,8,0
backend,kr.co.kyobo.vora.common.api,UriVersion,3,0,0,0,1,0,1,0,1,0
backend,kr.co.kyobo.vora.common.api,UriEntity,3,0,0,0,1,0,1,0,1,0
backend,kr.co.kyobo.vora.common.api,UriMethod,3,0,0,0,1,0,1,0,1,0
backend,kr.co.kyobo.vora.service.terms,TermsServiceImpl,18,0,0,0,5,0,3,0,3,0
backend,kr.co.kyobo.vora.service.file,AmazonClient,281,0,2,0,46,0,11,0,10,0
backend,kr.co.kyobo.vora.model.jwt,JwtValidationResult,126,0,22,0,3,0,20,0,9,0
backend,kr.co.kyobo.vora.model.jwt,LoginToken,273,0,46,0,8,0,39,0,16,0
backend,kr.co.kyobo.vora.model.jwt,JwtClaim,227,0,38,0,7,0,33,0,14,0
backend,kr.co.kyobo.vora.model.jwt,LoginResponse,285,0,42,0,9,0,39,0,18,0
backend,kr.co.kyobo.vora.common.encrypt,SHA256,1172,0,32,0,119,0,38,0,22,0
backend,kr.co.kyobo.vora.common.encrypt,SeedCBC,7135,0,54,0,398,0,51,0,24,0
backend,kr.co.kyobo.vora.common.encrypt,AES256Util,104,0,2,0,23,0,5,0,4,0
backend,kr.co.kyobo.vora.service.notice,NoticeServiceImpl,156,0,12,0,36,0,14,0,8,0
backend,kr.co.kyobo.vora.messages,ResultConstants,22,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.messages,ErrorMessages,256,0,4,0,31,0,11,0,9,0
backend,kr.co.kyobo.vora.service.feedCommentReport,FeedCommentReportServiceImpl,17,0,2,0,5,0,3,0,2,0
backend,kr.co.kyobo.vora.service.memberActivity,MemberActivityServiceImpl,82,0,2,0,21,0,5,0,4,0
backend,kr.co.kyobo.vora.service.member,MemberServiceImpl,1571,0,72,0,272,0,58,0,22,0
backend,kr.co.kyobo.vora.controller,MyFeedController,28,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.controller,MemberFeedController,23,0,0,0,5,0,5,0,5,0
backend,kr.co.kyobo.vora.controller,MemberFollowMemberController,27,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.controller,TermsController,16,0,0,0,4,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,FeedCommentReportController,12,0,0,0,3,0,3,0,3,0
backend,kr.co.kyobo.vora.controller,SearchHistoryController,28,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.controller,VoraBooksController,8,0,0,0,2,0,2,0,2,0
backend,kr.co.kyobo.vora.controller,FeedReportController,12,0,0,0,3,0,3,0,3,0
backend,kr.co.kyobo.vora.controller,MemberBlockMemberController,17,0,0,0,4,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,PersonalController,33,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.controller,NaverApiController,28,0,0,0,5,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,FileController,31,0,0,0,5,0,5,0,5,0
backend,kr.co.kyobo.vora.controller,NoticeController,33,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.controller,BusinessCategory2Controller,12,0,0,0,3,0,3,0,3,0
backend,kr.co.kyobo.vora.controller,HelpController,33,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.controller,MemberController,102,0,0,0,21,0,17,0,17,0
backend,kr.co.kyobo.vora.controller,RelationController,15,0,0,0,3,0,3,0,3,0
backend,kr.co.kyobo.vora.controller,SearchFeedController,13,0,0,0,3,0,3,0,3,0
backend,kr.co.kyobo.vora.controller,AlarmController,29,0,0,0,6,0,6,0,6,0
backend,kr.co.kyobo.vora.controller,TagsController,17,0,0,0,4,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,MemberActivityController,17,0,0,0,4,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,MailController,41,0,0,0,6,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,FeedsController,480,0,34,0,102,0,31,0,14,0
backend,kr.co.kyobo.vora.controller,MainFeedController,18,0,0,0,4,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,TagFeedController,23,0,0,0,5,0,5,0,5,0
backend,kr.co.kyobo.vora.controller,AccountController,18,0,0,0,4,0,4,0,4,0
backend,kr.co.kyobo.vora.controller,BusinessCategory1Controller,11,0,0,0,3,0,3,0,3,0
backend,kr.co.kyobo.vora.controller,MemberInquiryController,18,0,0,0,4,0,4,0,4,0
backend,kr.co.kyobo.vora.service.relation,RelationServiceImpl,220,0,16,0,45,0,15,0,7,0
backend,kr.co.kyobo.vora.service.getIp,IpAddressToCityName,620,0,198,0,123,0,151,0,5,0
backend,kr.co.kyobo.vora.service.memberInquiry,MemberInquiryServiceImpl,121,0,10,0,27,0,11,0,6,0
backend,kr.co.kyobo.vora.service.tags,TagsServiceImpl,69,0,2,0,17,0,6,0,5,0
backend,kr.co.kyobo.vora.interceptor,JwtInterceptor,62,0,6,0,15,0,5,0,2,0
backend,kr.co.kyobo.vora.service.push,PushServiceImpl,5,0,0,0,2,0,2,0,2,0
backend,kr.co.kyobo.vora.model.database,MemberBlockMember,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,AdminMember,212,0,38,0,5,0,32,0,13,0
backend,kr.co.kyobo.vora.model.database,MemberGroup,169,0,30,0,4,0,26,0,11,0
backend,kr.co.kyobo.vora.model.database,Files,169,0,30,0,4,0,26,0,11,0
backend,kr.co.kyobo.vora.model.database,FeedLiker,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,FeedComment,187,0,22,0,6,0,26,0,15,0
backend,kr.co.kyobo.vora.model.database,VoraBooks,642,0,118,0,15,0,92,0,33,0
backend,kr.co.kyobo.vora.model.database,FeedFiles,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,MemberInquiry,298,0,54,0,7,0,44,0,17,0
backend,kr.co.kyobo.vora.model.database,CommentTags,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,Notice,169,0,30,0,4,0,26,0,11,0
backend,kr.co.kyobo.vora.model.database,Member,789,0,134,0,20,0,110,0,43,0
backend,kr.co.kyobo.vora.model.database,CommentLiker,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,Account,367,0,64,0,9,0,53,0,21,0
backend,kr.co.kyobo.vora.model.database,FeedTags,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,BaseObject,152,0,24,0,4,0,23,0,11,0
backend,kr.co.kyobo.vora.model.database,MemberLoginHistory,281,0,48,0,7,0,41,0,17,0
backend,kr.co.kyobo.vora.model.database,Help,212,0,38,0,5,0,32,0,13,0
backend,kr.co.kyobo.vora.model.database,AdminMemberChangeHistory,135,0,18,0,4,0,20,0,11,0
backend,kr.co.kyobo.vora.model.database,ActionTags,135,0,18,0,4,0,20,0,11,0
backend,kr.co.kyobo.vora.model.database,MemberScrapFeeds,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,Alarm,247,0,36,0,7,0,35,0,17,0
backend,kr.co.kyobo.vora.model.database,BusinessCategory2,109,0,16,0,3,0,17,0,9,0
backend,kr.co.kyobo.vora.model.database,BusinessCategory1,83,0,14,0,2,0,14,0,7,0
backend,kr.co.kyobo.vora.model.database,Tags,195,0,32,0,5,0,29,0,13,0
backend,kr.co.kyobo.vora.model.database,TagFollow,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,DeleteMember,221,0,34,0,6,0,32,0,15,0
backend,kr.co.kyobo.vora.model.database,FeedLocations,436,0,74,0,11,0,62,0,25,0
backend,kr.co.kyobo.vora.model.database,ActionTagsCultureExhibition,419,0,68,0,11,0,59,0,25,0
backend,kr.co.kyobo.vora.model.database,MembersProfile,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,ActionTagsMovie,436,0,74,0,11,0,62,0,25,0
