GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deactive_member,kr.co.kyobo.vora.common.api,UriEntity,3,0,0,0,1,0,1,0,1,0
deactive_member,kr.co.kyobo.vora.common.api,UriVersion,3,0,0,0,1,0,1,0,1,0
deactive_member,kr.co.kyobo.vora.common.api,UriMethod,3,0,0,0,1,0,1,0,1,0
deactive_member,kr.co.kyobo.vora.aop,LoggingAspect,53,0,0,0,14,0,4,0,4,0
deactive_member,kr.co.kyobo.vora.common,ParamConstants,3,0,0,0,1,0,1,0,1,0
deactive_member,kr.co.kyobo.vora.service.mail,SendMailServiceImpl,274,0,4,0,39,0,10,0,8,0
deactive_member,kr.co.kyobo.vora.model.api,MailDto,263,0,46,0,6,0,38,0,15,0
deactive_member,kr.co.kyobo.vora.common.encrypt,SeedCBC,7135,0,54,0,398,0,51,0,24,0
deactive_member,kr.co.kyobo.vora.common.encrypt,SHA256,1172,0,32,0,119,0,38,0,22,0
deactive_member,kr.co.kyobo.vora.common.encrypt,AES256Util,104,0,2,0,23,0,5,0,4,0
deactive_member,kr.co.kyobo.vora.model.database,BaseObject,152,0,24,0,4,0,23,0,11,0
deactive_member,kr.co.kyobo.vora.model.database,MemberLoginHistory,324,0,56,0,8,0,47,0,19,0
deactive_member,kr.co.kyobo.vora.model.database,Member,789,0,134,0,20,0,110,0,43,0
deactive_member,kr.co.kyobo.vora.model.database,Account,367,0,64,0,9,0,53,0,21,0
deactive_member,kr.co.kyobo.vora.config,DatabaseConfig,71,0,0,0,17,0,6,0,6,0
deactive_member,kr.co.kyobo.vora.service.account,AccountServiceImpl,3,0,0,0,1,0,1,0,1,0
deactive_member,kr.co.kyobo.vora.service.history,MemberLoginHistoryServiceImpl,7,0,0,0,2,0,2,0,2,0
deactive_member,kr.co.kyobo.vora.service.member,MemberServiceImpl,193,0,14,0,39,0,13,0,6,0
deactive_member,kr.co.kyobo.vora,KyoboApplication,37,0,4,0,11,0,6,0,4,0
